Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
"Cordier (Gérard), Dauvois (Michel), ""Instruments perforés du Loiret"", extr. de la revue archéologique du Loiret, 1981, t.7, p. 3-21, BBH 1103/45";BBH 1103/45;;;don Cordier;Orléanais;préhistoire;;
Cordier (Gérard), Préhistoire et protohistoire dans le canton de Chinon, Joué-Les-Tours, édit. La Simarre, 1983, 13 p., BBH 1102/45 A-B;BBH 1102/45 A-B;;;don Cordier;Touraine;Chinon;préhistoire;
Favière, Hatt, Premiers agriculteurs en Alsace, 5000-2000 avant Jésus-Christ, Musée archéologique de Strasbourg, Strasbourg, édit. Seba, s. d.,  47 p., BBH 1101/45;BBH 1101/44;;;;archéologie;agriculture;;
Matthis (Charles), Etudes et découvertes de nouveaux monuments préhistoriques dans les Vosges du Nord de l'Alsace, Strasbourg, édit. Treutel et Wûrtz, 1913, 23 p., BBH 1100/44;BBH 1100/44;;;;Préhistoire;Vosges;;
Obligy (André), L'invention du feu, étude sur la civilisation mégalithique et les Celtes, s. d., s. l., tapuscrit, 17 p., BBH 1099/44;BBH 1099/44;;;;Préhistoire;dolmen;;
"Mayet (Lucien), Gazel (Adrien), Maurette (Laurent), La ""grotte des poteries"" à Fauzan (commune de Cesseras, Hérault), extr. de l'Anthropologie, t. XXVI, n° 2-3, (mars-avril-mai 1913), Paris, éd. Masson et Cie, 1913, 24 p., BBH 1098/44";BBH 1098/44;;;;archéologie;Hérault;;
"Malvesin-Fabre (G.), ""Une visite à la grotte de Lascaux (Dordogne) et à ses œuvres d'art préhistoriques"", extr. de l'Almanach du journal ""Sud-Ouest"" pour l'an 1949, 1949, 13 p., BBH 1097/44";BBH 1097/44;;;;Préhistoire;Lascaux 2;;
"Lewis (T. H.),"" Ancient rock inscriptions in eastern Dakota,"" extr. de s. n, s. l., 1886, p. 423-425, BBH 1096/44";BBH 1096/44;;;;archéologie;graffiti;;
"Lovisato (Domenico), ""Strumenti liciti e brevi cenni geologici sulle provincie di Catanzaro e di Cosenza"", extr. de Classe di Science Fisiche ecc., Memorie, Vol. II, 1878,  p. 770-789, 1 pl., BBH 1095/44";BBH 1095/44;;;;archéologie;Italie;;
"Loé (Baron A. de), Rahir (Ed.), ""Vestiges de voies antiques dans les rochers"", extr. des Annales de la Société d'Archéologie de Bruxelles, t.XXI, "" 3e et 4e livraisons 1907, Bruxelles, impr.-éd. Vromant et Cie, 1907,  p. 355-379, 25 p., BBH 1094/44";BBH 1094/44;;;;archéologie;Belgique;;
"Lecointre (Georges), Carpentier (A), ""Sur des empreintes de Frenelopsis du Cénomanien provenant du forage de Monts-sur-Guesnes (Vienne)"", extr. du Bulletin de la Société géologique de France, 5e série, t. VIII, année 1938, 1938, p. 583-586, 1 pl.,BBH 1093/44";BBH 1093/44;;;;Poitou;géologie;;
"Laville (A.), ""Rape angulaire néolithique"", extr. des Bulletins et Mémoires de la Société d'Anthropologie de Paris, Séance du 3 Février 1910, p. 63-68, BBH 1092/44";BBH 1092/44;;;;Préhistoire;objet;;
"Lagorgette (Jean), ""Poteries gauloises ornées en creux ou en relief ou à peintures géométriques du Mont-Lasçois, A propos d'un dévidoir gaulois"", extr. de l'Association Française Avancée des Sciences, p. 312-315,  BBH 1091/44";BBH 1091/44;;;;archéologie;céramique;;
"Joulin (Léon), ""Les Celtes d'après les découvertes archéologiques récentes dans le sud de la France et dans la Péninsule Hispanique"", extr. de la Revue Archéologique, juillet-octobre 1918, Paris, éd. Ernest Leroux, 1919, 38 p., BBH 1090/44 ";BBH 1090/44;;;;archéologie;gaulois;;
"Joulin (Léon), ""Les âges protohistoriques dans le sud-ouest de la France"", extr. des Mémoires de l'Académie des Sciences, Inscriptions et Belles Lettres de Toulouse, 10 e série, t. XI, Toulouse, impr. Douladoure-Privat, 1911,  p. 177-208, BBH 1089/44";BBH 1089/44;;;;archéologie;Gaulois Sud-Ouest;;
"Joulin (Léon), ""Les Celtes d'après les découvertes archéologiques récentes dans le sud de la France et l'Espagne et en particulier dans la région de Toulouse"", extr. des Mémoires de l'Académie des Sciences, Inscriptions et Belles Lettres, Toulouse, impr. Les Frères Douladoure, 1919, p. 35-44,  BBH 1088/44";BBH 1088/44;;;;archéologie;Gaulois Sud-est;;
"Jousset de Bellesme, ""Les industries mafflienne et mesvinienne de la vallée de l'Huisme à Nogent-le-Rotrou (Eure-et-Loir)"", extr. du 8e Congrès préhistorique de France, Session d'Angoulême, 1911, Le Mans impr. Monnoyer, 1913, 16 p., BBH 1087/44";BBH 1087/44;;;;Préhistoire;Eure-et-Loire;;
"Jousset de Bellesme, ""Instruments préhistoriques de la Cochinchine (Nogent-le-Retrou, Eure-et-Loir)"", extr. du 6e Congrès préhistorique de France, Session de Tours, 1910, p. 489-491, BBH 1086/44";BBH 1086/44;;;;Préhistoire;Vietnam;;
"Huré (Augusta), ""Pointes-grattoirs-retouchoirs moustériens du Sénonais"", extr. du Bulletin de la Société Préhistorique Française, séance du 25 mars 1915, Le Mans , impr. Monnoyer,  6 p., BBH 1085/44";BBH 1085/44;;;;Préhistoire;objets;;
"Hure (Augusta), ""Les Mégalithes Sénorais et la radiesthésie"", extr. du Bulletin de la Société des Sciences Historiques et Naturelles de l'Yonne, 1934, Auxerre, impr. ""l'Universelle"" (Association ouvrière), 1935, 2 p., BBH 1084/44";BBH 1084/44;;;;Préhistoire;dolmen;;
Hales (Henry), Préhistoric new mexican pottery, s. d., p. 535-554, BBH 1083/44;BBH 1083/44;;;;Préhistoire;Mexique;;
"Ghébhard (A.), ""Sur les anses multiforées à trous de suspension verticaux"", extr. du Congrès Préhistorique de France, IVe session (Chambéry, 1908), 1909, p. 737-768, BBH 1082/44";BBH 1082/44;;;;Préhistoire;céramique;;
"Guébhard (A.),  ""Supplément à la notice sur quelques pièces à remarquer de la Céramique néolithique de Provence, une spécialité Céramique méconnue de l'arrondissement d'Uzès avant l'histoire"", extr. du Congrès de la Société savante de Provence, IIe session (Arles 1909), Le Mans, impr. Monnoyer, 1910, 16 p., BBH 1081/44";BBH 1081/44;;;;Préhistoire;céramique;;
"Guébhard (A.), ""A propos de la décoration au Champ-Levé, ou par excision d'une poterie préhistorique provençale"", extr. du Bulletin de la Société Préhistorique Française, juin 1911,  Le Mans, impr. Monnoyer, 1911, 8 p., BBH 1080/44";BBH 1080/44;;;;Préhistoire;céramique;;
"Guébhard (A.) ""Supplément à la notice des presses et moulins à huile"", extr. du Bulletin de la Société Préhistorique de France, T. VII, Janvier-Avril 1910, Le Mans, impr. Monnoyer, 1910, p. 18-32, BBH 1079/44";BBH 1079/44;;;;archéologie;moulins;;
"Giraux (M.L.), ""Pointes de flèches de Grossa (Corse)"", extr. des Bulletins et Mémoires de la Société d'Anthropologie de Paris, séance du 20 février 1902, 6e série. - T. III. Fasc. I. - 1902, extr. des Bulletins et Mémoires de la Société d'Anthropologie de Paris, 3 p., BBH 1078/44";BBH 1078/44;;;;archéologie;;;
"Gaurichon (Joseph),  ""Age des Métaux, Contribution à l'étude des puits funéraires en Touraine"", extr. du 6e Congrès préhistorique de France, session de Tours, 1910, [p. 789 à 800], Le Mans, impr. Monnoyer, 1911, 12 p., BBH 1077/44";BBH 1077/44;;;;Touraine;préhistoire;;
"Gaurichon (Joseph), ""Epoque Mégalithique, Etude technique de l'allée couverte de Saint-Antoine-du-Rocher (Grotte des Fées de Mettray), Indre-et-Loire"", extr. du 6e Congrès préhistorique de France, session de Tours 1910, [ p. 639-682], Le Mans, impr. Monnoyer, 1911, 44 p., BBH 1076/44";BBH 1076/44;;;;Touraine;Saint-Antoine-du-Rocher;dolmen;
Thomas (F.), 1993, Rigny-Ussé, 2. La population entre 1670 et 1856 d'après les registres paroissiaux et l'état civil, 1993,  48 p. B 708;BBH 1075bis/43;;2007;achat 03.07;Touraine;Riigny-Ussé;;
Zdzislaw (Rajewski), Biskupin, station de fouilles archéologiques en Pologne, Varsovie, Ed. Polonia, 1959, BBH 1075/43;BBH 1075/43;;;;archéologie;Pologne;;
"Grunewald (Roland), ""Les industries à faciès préhistorique en Océanie"", extr. de la Société des  Océanistes, communication présentée à la séance du 20 mars 1937, s.d., 58 p., BBH 1074/43";BBH 1074/43;;;;Préhistoire;Océanie;;
"Broca, Arcelin, ""Incident de l'anneau [sépulture] de Solutré"", extr. du Procès Verbal du 6 novembre. 1873, de la Société d'Anthropologie, 1873, 26 p., BBH 1073/43";BBH 1073/43;;;;Préhistoire;tombe;;
Bourassé (Jean-Jacques), Monuments celtiques de Touraine, Tours, impr. de Mame,1842, 16 p., BBH 1072/43;BBH 1072/43;;;;Touraine;préhistoire;dolmens;
"Bourgeois (abbé), ""Sur les silex considérés comme portant les marques d'un travail humain découverts dans le terrain Miocène de Thenay"", extr. du compte-rendu   du Congrès international d'Anthropologie et d'Archéologie préhistoriques, 6ème session, Bruxelles, impr. du Roi,1873, 92 p., 2 pl.,  BBH 1071/43";BBH 1071/43;;;;Loir-et-Cher;préhistoire;;
"Brun (Pierre de), ""Les lampes antiques en argile du musée des Alpilles à Saint-Rémy-de-Provence (B.d.R)"", extr. des Cahiers d' Histoire et d'Archéologie, 20 p., 1933,  BBH 1070/43";BBH 1070/43;;;;archéologie;Provence;;
Chevalier (Casimir), La Touraine avant les Hommes, étude géologique, Tours, impr. Lecesne,1849, 23 p., BBH 1069/43;BBH 1069/43;;;;Touraine;géologie;;
Clément (M. P.), Note sur une pierre molaire à rigole du Vendômois, Libr. Lechevallier, s.d.,  3 p., BBH 1068/43;BBH 1068/43;;;;Vendômois;préhistoire;;
"Collin (Emile), ""Dolmen d'Ermenonville (Oise)"", extr. de la Société d'Anthropologie de Paris, 1898, p. 462-464,  BBH 1067/43";BBH 1067/43;;;;archéologie;préhistoire;dolmen;
"Corot (Henry), ""Les fibules pré-romaines trouvées sur le plateau d'Alésia"", extr. De Pro Alesia, Paris, libr. Ernest Leroux, 1927, 15 p., 7 pl., BBH 1066/43";BBH 1066/43;;;;archéologie;gaulois;;
"Corot (Henry), ""Note sur un galet réniforme, perforé d'origine préhistorique, recueilli dans les ruines romaines de Verdes (Loir et Cher)"", extr. du Bulletin de la Société Préhistorique Française, séance du 25 octobre 1917, Le Mans, impr. Monnoyer, 1917,  3 p., BBH 1065/43";BBH 1065/43;;;;Loir-et-Cher;préhistoire;;
Coutil (Léon), Les casques protohistoriques étrusques et gaulois, 1914,  Gand, impr. W. Siffer, 1914, 32 p., BBH 1064/43;BBH 1064/43;;;;archéologie;Gaulois;;
Coutil (Léon), Le casque d'or orné d'émaux d'Amfreville-Sous-Les-Monts et le casque en fer de Notre-Dame-Du-Vaudreuil (Eure). Etude comparative des casques gaulois, Le Mans, impr. Ch. Monnoyer, 1912,15 p., BBH 1063/43;BBH 1063/43;;;;archéologie;Gaulois;;
"Demarty (J.), ""La meule néolithique du chemin de César , près Craponne (Haute-Loire)"", extr. de la Revue d'Auvergne, 1912, Clermont-Ferrand, impr. typ et litho.graphique G. Mont-Louis, 1912, 4 p., BBH 1062/43";BBH 1062/43;;;;Préhistoire;Haute-Loire;;
"Fergusson (G. S.), ""Notice sur les découvertes des haches de pierre dans le Diluvium des environs d' Amiens et d'Abbeville"", extr. Revue de Picardie, Amiens, typ.  Yvert, 1860,  41 p., BBH 1061/43";BBH 1061/43;;;;Préhistoire;haches;;
Flamand (M.),  Sur l'utilisation comme instruments néolithiques de coquilles fossiles à taille intentionnelle (Littoral du Nord-Africain),1901, p. 729-734, BBH 1060/43;BBH 1060/43;;;;Préhistoire;objets;;
"Florance (M.), ""Le Mortier gaulois en pierre pour broyer ou moudre les grains"", extr. du rapport présenté au Congrès de Strasbourg de l'Association Française pour l'Avancement des Sciences le Mardi 27 juillet 1920,Paris, impr. Chaix, 1921 ,p. 583-586, BBH 1059/43";BBH 1059/43;;;;archéologie;meule à gtains;;
"Garcet (Robert), ""Considérations sur une étude morphologique et microscopique des galets de l'Ile d'Yeu en rapport avec d'autres galets de diverses provenances"", extr. du Congrès Préhistorique de Monaco, XVI e session, 1959, Le Mans, impr. Monnoyer, 1965,  p. 558- 563, BBH 1058/43";BBH 1058/43;;;;Préhistoire;objet;;
Clérambault (Edouard Gatian de), Les margers et les alignements de la Ronde, commune de Pernay (Indre et Loire), extr. Du deuxième Congrès Préhistorique de France, session de vannes, 1906, Le Mans, impr. Monnoyer, 1907, 4 p., 3 ex., BBH 1057/43 ;BBH 1057/43;;;;Touraine;Pernay;;
"Ballet (Dr ?.),  ""La parure aux époques paléolithiques anciennes"", extr.  Société Préhistorique Française, s.d., 12 p., BBH 1056/43";BBH 1056/43;;;;Préhistoire;objets;;
"Bastin (Dr A. H.), ""Quelques aspects particuliers du Moustérien d'Engihoul (près Liège), Burins, Scies, Tranchets"", extr. du Bulletin de la Société Préhistorique Française, N° 5-6, 1941, Le Mans, impr. Monnoyer, 1941, 7 p., BBH 1055/43";BBH 1055/43;;;;Préhistoire;Belgique;;
"Bastin (Dr A. H.), ""Contribution à l'étude du quaternaire girondin, mémoire N°1, Paléontologie. Sur la présence d' ""Elephas antiquus ""  Falconer dans les alluvions quaternaires de Libourne (Gironde)"", extr. des Procès-Verbaux de la Société Linéenne de Bordeaux, séance du 16 février 1941, Bordeaux, impr. E. Drouillard, 1942,  14 p., BBH 1054/43";BBH 1054/43;;;;géologie;Gironde;;
"Bastin (Dr A. H.), ""Contribution aux études de Préhistoire de la Touraine, les industries préhistoriques du plateau d' Athée ( Indre et Loire)"", extr. du Bulletin de la Société Préhistorique Française, N° 1-2, 1942, Le Mans, impr. Monnoyer, 1942, 20 p., BBH 1053/43";BBH 1053/43;;;;Touraine;Athee-sur-Cher;;
Barreau (J.-B.), Hachette en silex taillé avec trou d'emmanchement naturel (Grand-Pressigny), communication faite à la Société Préhistorique de France dans sa séance du 26 mars 1908, Le Mans, impr. Monnoyer, 1908, 2 p., BBH 1052/43 ;BBH 1052/43;;;;Touraine;Grand-Pressigny;;
"Bastin (Dr A. H.), Chassin (J), ""Découverte d'une lampe paléolithique à Domme (Dordogne)"", extr. du Bulletin de la Société Préhistorique Française, n° 10-11612, Le Mans, Ch. Monnoyer, 1941, 11 p., BBH 1051/43";BBH 1051/43;;;;Prééhistoire;objet;;
"[Anonyme], ""Discours prononcé aux obsèques de M. le Dr Meusnier (René-Auguste) d'Amboise (1843-1924)"", extr. de La Gazette Médicale du Centre, 15 juin 1924,  Tours, impr. tourangelle, 1924, 38 p., BBH 1050/42";BBH 1050/42;;;;Touraine;Amboise;;
Tricot (Louis), Essai sur les origines de Reugny (Indre-et-Loire), Joué-Les-Tours, 1986, 30 p., BBH 1049/42;BBH 1049/42;;;;Touraine;Reugny;;
Tricot (Louis), Le curieux château de Reugny et les souterrains refuges, Joué-Les-Tours,1986, 33 p., BBH 1048/42;BBH 1O48/42;;;;Touraine;Reugny;;
Jouin (Pierre), Un Poète Errant, Tours, impr. E. Menard, 1910, BBH 1047/42;BBH 1047/42;;;;Tours;poésie;;
Hofmann (Bernard), La céramique sigillée, notice technique n°4 et 8 documents (photos et dessins à la plume), Paris, tapuscrit TCF, [vers 1960], 14 p., BBH 1046/42;BBH 1046/42;;;;archéologie;céramique GR;;
Société des Amis de Ronsard, Quelques manifestations à la mémoire de Ronsard, s.d., 21p., BBH 1045/42;BBH 1O45/42;;;;Ronsard;anniversaire;;
[Société archéologique de Touraine-SAT], Lot d'archives  la SAT, avis d'excursions, 1927-1939,  BBH 1044/42;BBH 1044/42;;;;SAT;excursions;;
[Collectif], Avoués de Tours, Paul Mingaud,  nommé chevalier de la légion d'Honneur, Tours, édit. R.P. Deslis, 1934, 21 p., BBH 1043/42;BBH 1043/42;;;;Touraine ;SAT;;
[Anonyme], A la mémoire de Claude-Marie-Gustave de la Croix de Ravignan né à Paris le 19 février 1868, décédé en son château du Bois -d'Aix, commune d'Abilly (Indre et Loire) le 10 novembre 1912, Tours, impr. Mame,1913, 67 p., BBH 1042/42;BBH 1042/42;;;;Touraine ;Reugny;;
Briand (Paul), Discours prononcés au 50e anniversaire de la Société des Amis des Arts en Touraine, 2 ex, 1931,  BBH 1041/42;BBH 1041/42;;;;Touraine ;société savante;;
Derouet (Camille), Souvenirs d'un combattant de l'Armée de la Loire (1870-1871),  (extr. de la Revue du Monde Catholique, 5e édit.), Tours, impr. Roger Dubois, 1894, 53 p., BBH 1040/42;BBH 1040/42;;;;Touraine ;guerre 1870;;
Marmottan (Paul), Le Général Menou en Toscane, extr. Revue militaire rétrospective, Carnet de la Sabretache, 122, Paris, édit. J. Leroy, 1903, 19 p., BBH 1039/42;BBH 1039/42;;;;Touraine ;biographie;;
[Anonyme], Constitution et Constituante, Les Rééligibles, Tours, impr. F. Gouraud, 1888, 16 p., BBH 1038/42;BBH 1038/42;;;;histoire;1789;;
Lecotté (Roger), Le jeu de la Soule à Brée au XVIIIe, (extr. du Bulletin de la Commission Historique et Archéologique de la Mayenne, t. LXVII, 1957-1958),1959,  BBH 1037/42;BBH 1037/42;;;;Maine;vie quotidienne;jeu;
Pépin (Eugène), Saint-Philibert et ses reliques, extr. s. n., Paris, 1975, p. 7-19, BBH 1036/42;BBH 1036/42;;;;histoire;religion;;
Barthélémy (abbé J.-J.), Voyage du jeune Anarchesis en Grèce, Atlas, Paris, édit. Lebigre Frères, 1834,  33 p., 32 cartes, BBH 1035/42;BBH 1035/42;;;;histoire;littérature;;
Chapel, (J. P.), Vivier (R.), Programme des festivités 4e centenaire de la mort de Rabelais, 1953,  4 p., BBH 1034/42;BBH 1034/42;;;;Rabelais;anniversaire;;
Rethault (Eugène), L'Homme qui devait Mourir, nouvelles, Angers, impr. H. Siraudeau, 1977, 23 p., BBH 1033/42;BBH 1033/42;;;;divers ;littérature;;
Descaves (Pierre), Les cahiers de l'Art de vivre, 1963, 24 p., BBH 1032/42;BBH 1032/42;;;;divers;;;
[Collectif], Saint Louis à Royaumont et les moines cisterciens, exposition mai-sept. 1970, ronéotypé, Fondation Royaumont, 21 p., BBH 1031/42;BBH 1031/42;;;;histoire;religion;;
[Collectif], Département d'Indre-et-Loire, extension de la préfecture, avant-projet, octobre1981,  21 p., BBH 1030/42;BBH 1030/42;;;;Tours;préfecture;;
"[Anonyme], ""La Voie sacrée"", extr. de l'Histoire de l'Arme du Train, 10 p., BBH 1029/42";BBH 1029/42;;;;Tours;armée;Train;
"Romanet (Général), ""Notes historiques sur l'évolution du Train"", extr. Histoire de l'Arme du Train,  s. d., p. 14-46, BBH 1028/42";BBH 1028/42;;;;Tours;armée;Train;
"Couget (colonel),"" L'arme du Train. Un siècle et demi d'histoire de l'Empire à nos jours 1807-1974"", extr. de l'Histoire de l'Arme du Train, s. d., p. 6-24, BBH 1027/42";BBH 1027/42;;;;Tours;armée;Train;
"Couget (colonel), ""Célébration du centenaire de la création du Train des équipages militaires, le 26 mars 1907 à Lyon"", extr. de l'Histoire de l'Arme du Train, s. d., p. 30-34, BBH 1026/42";BBH 1026/42;;;;Tours;armée;Train;
[Anonyme], [paroisses mariales de Touraine], édit. Monastère de Sainte Claire,  s.d., 18 p., BBH 1025/41;BBH 1025/41;;;;Touraine;religion;culte marial;
"Weelen (J-E.), ""Balzac après Vendôme"", extr. du Bulletin de la Société Archéologique du Vendômois, 1953,  48 p., BBH 1024/41";BBH 1024/41;;;;Balzac;vie;;
Coolen (Georges), L'aventure de Mgr de Conzié. L'Evêque d'Arras s'est-il battu en duel contre son rival ?, extr. Bulletin Historique de la Société des Antiquaires de la Marine, Saint Omer, impr. de l'Indépendant, 1939, 15 p., BBH 1023/41;BBH 1023/41;;;;histoire;religion;;
Weelen (J.-E.), Balzac avant Vendôme, Elève à la lecture de la pension Le Guay, Saumur, impr. Richou et Fils, 1952,  8 p., BBH 1022/41;BBH 1022/41;;;;Balzac;Saumur;;
Souty (Pierre), Les roses du Poitou, Fontenay-Le-Comte, édit. Henri Lussaud, 1926, 8 p., BBH 1021/41;BBH 1021/41;;;;Poitou;poèmes;;
Rougé (Jacques-Marie), Agnès Sorel, la mie d'un Roy,trois légendes de Touraine,1950, Tours, édit. Les Donjons, les belles images de France, R. Arsicaud et Fils, 1950, 6 p., BBH 1020/41;BBH 1020/41;;;;Touraine;Agnès Sorel;;
"Ollier (Jean), ""La place de l'eau dans la pensée de Léonard de Vinci"", extr. du Bulletin de l'Association Léonard Vinci 1967, Tours, impr. Mariotton, 1967, 8 p., BBH 1019/41";BBH 1019/41;;;;Touraine;Léonard de Vinci;;
[Collectif], A l'occasion de l'inauguration du musée Balzac au château de Saché, le 29 avril 1951. Séance extraordinaire du Comité Balzac de touraine, Tours, impr. Gibert-Clarey, 1951,  56 p., BBH 1018/41;BBH 1018/41;;;;Balzac;Touraine;;
[Anonyme], Clérettes, Capucines, Clarisses au pays tourangeau, Tours, édit. Monastère de Sainte Claire, s.d., 22 p., BBH 1017/41;BBH 1017/41;;;;Touraine;religion;;
[Collectif], Lettres escrites à nostre Saint Père le Pape et  à Monseigneur le cardinal Barberin par Messeigneurs   les Archevesques et Evesques, Approbateurs du Livre de la Frequente Communion, Paris, chez Antoine Vitré, Imprimeur ordinaire du Roy, de la Reyne Regente Mere de sa Majesté, et du Clergé de france, 1644, 20 p. ,BBH 1016/41;BBH 1016/41;;;;histoire;religion ;;
[Collectif], Dix siècles de lettres en Touraine. Exposition organisée au Musée des Beaux Arts de Tours à l'occasion du Cinquantenaire de l'Institut de touraine, 6 avril-16 juin 1963, 20 p., BBH 1015/41;BBH 1015/41;;;;Touraine;littérature;;
[Anonyme], Missions dans la Touraine en 1820  et 1821, Tours, impr. Mame,  s. d.,  15 p., BBH 1014/41;BBH 1014/41;;;;Touraine;relifgion;missions 19e;
[Anonyme], Le millénaire de Saint Odon (942-1942), Tours, impr. J. Clémenceau, 1943 , 13 p., BBH 1013/41;BBH 1013/41;;;;Touraine;religion;;
"Maurice (Jacques), ""La transposition topographique dans une ténébreuse affaire"", extr. de l'Année balzacienne, Paris, édit. Garnier Frères, 1965,  p. 233-238, BBH 1012/41";BBH 1012/41;;;;Balzac;topographie;;
"Métadier (Paul), ""Balzac précurseur de la caractérologie"", extr. de l'Année balzacienne, Paris, édit. Garnier Frères, 1965, p. 309-316, BBH 10011/41";BBH 1011/41;;;;Balzac;littérature;;
Souty (Pierre), Contes et nouvelles de Touraine et Blaisois, Orléans, impr. de la République, 1956, 61 p., BBH 1010/41;BBH 1010/41;;;;Touraine;littérature;;
"Marchais (abbé G.), ""Charles Maurras et René Boylesve"" et "" supplément au n° 23"", extr. des Cahiers Charles Maurras, n° 23, photocopie d'une lettre de 1922 de Maurras  Charles, Paris, s. d.,  BBH 1009/41";BBH 1009/41;;;;Touraine;littérature;Boylesve;
Gounin (chanoine), Paroles prononcées par Monsieur le chanoine Gounin, vicaire capitulaire de Tours, aux obsèques du baron de Boucheporn en l'église de Louestault, le 20 août 1931, Mesnil, typ. Firmin-didot et Cie, 1931, 10P.,  BBH 1008/41;BBH 1008/41;;;;Touraine;biographie;;
Weelen (J-E.), Balzac et le mystérieux Stenbock, s. l., s. d., 6 p., BBH 1007/41;BBH 1007/41;;;;Balzac;littérature;;
Millet (Ernest), Dupuis (André), Petite géographie du département d'Indre-et-Loire, Tours, édit. Arrault et Cie, 1945,  20 p., BBH 1006/41;BBH 1006/41;;;;Touraine;géographie;;
[Collectif], Ronsard est né il y a 450 ans, Journées commémoratives en Touraine et en Vendômois (septembre 1974), supplément au bulletin 1974 de la Société Archéologique de Touraine, Chambray-Les-Tours, édit. Club Gutenberg, 1974, 37 p., BBH 1005/41;BBH 1005/41;;;;Ronsard;anniversaire;;
[Collectif], Le Jardin de la France, Blois et Le Loir-et-Cher, n° 266-267-268, Blois, 1942, 80 p., BBH 1004/41;BBH 1004/41;;;;Touraine;Blois;;
"Cordier (Gérard), ""Les habitats hallstattiens de Chinon (Indre-et-Loire)"", extr. de Gallia, Fouilles et Monuments archéologiques en France métropolitaine, t. 43, fascicule 1, Paris, édit. CNRS, 1985, 23 p., BBH 1003/41";BBH 1003/41;;;don Cordier;Touraine;Chinon;gaulois;
"Jorrand (Jean-Pierre), ""Coffret-reliquaire en plomb découvert sur la cathédrale de Laon"", extr. des mémoires de la fédération des sociétés d'histoire et d'archéologie de l'Aisne, t. XXXV, 1990, p. 67-74, BBH 1002/41";BBH 1002/41;;;;archéologie;religion;;
Delpy (Jacqueline), 2001, La poésie !,  Les Sables-d'Olonne,édit. Henri Pinson, 1991, 52 p., BBH 1001/41 ;BBH 1001/41 ;;;;Touraine;poésie;;
Fourault (abbé J.-B.), Panégyrique de Jeanne d'Arc, prononcé dans l'église Sainte-Maurice de Chinon,  le 28 septembre 1890, au profit de l'érection de la statue de Jeanne d'Arc à Chinon, Tours, impr. Saint-Joseph, s. d., 16 p., BBH 1000/40;BBH 1000/40;;;;Jeane d'Arc;Chinon;;
Fourault (abbé J.-B.), Cinquantenaire de l'œuvre de Sainte Marie,1873-1923, Tours, impr.Deslis père, R. et P. Deslis,  s. d., 64 p., BBH 999/40;BBH 999/40;;;;Tours ;religion;;
Legras de Secheval (maire de Tours), Le progrès des Lumières considéré dans ses effets, poème, Paris, impr. d'Ed. Proux, 1838, 45 p., BBH 998/40;BBH 998/40;;;;Tours ;politique;;
Guérin (Alcide), Stella, Vallée des larmes, poèsies, Tours, impr. Rouillé-Ladevèze, 1877, 15 p., BBH 997/40;BBH 997/40;;;;divers;poésies;;
Lion (Albert-Henri), Un duel à La Chavonnière (un acte en vers), Paris, impr. A. Dufour, 1925, 40 p., BBH 996/40;BBH 996/40;;;;Touraine;théâtre;;
Desmousseaux de Givré (Thérèse), La Choisille clapote ses âges, poèsies, s. l., tapuscrit, photocopie, 1951, 27 p., BBH 995/40;BBH 995/40;;;;Touraine;poèmes;;
Charlier (Gustave), Ronsard et la Belgique, Bruxelles, édit. Académie Royale, s. d., 29 p., BBH 994/40;BBH 994/40;;;;Ronsard;Belgique;;
Gray (Carol), Voyage à Tatihou,  poèmes, Blainville-sur-Mer, s. d., 32 p., BBH 993/40 ;BBH 993/40;;;;divers;poèmes;;
Gray (Carol), Notre Dame, poèmes, pèlerinage de l'Ile-Bouchard, 1949-1950, Tours, 1958, impr. Bourges, 22 p., 3 ex., 1958, BBH 992/40 .;BBH 992/40;;;;Touraine;Ile-Bouchard;pèlerinage;
Marcault (abbé), La réversion de saint Martin et la Chapelle-Blanche, étude historique et critique, Tours, impr. Barbot-Berruer, 1894, BBH 991/40;BBH 991/40;;;;saint Martin;La Chapelle-Blanche;;
Gropas (abbé), La bienheureuse Françoise d'Amboise, Lille, édit. Société Saint-Augustin, Desclée, De Brower et Cie, 1926, 12 p., BBH 990/40;BBH 990/40;;;;Touraine;Amboise;;
"Salmon (Charles), ""Origines de l'église de Tours"", extr. de la Revue de l'Art Chrétien, Arras, typo. Ve Rousseau-Leroy, 1869, 39 p., BBH 989/40";BBH 989/40;;;;Tours;religion;;
Lespinasse (abbé Jean), Saint Julien de Brioude, Brioude, impr. Watel, 1946, 44 p., BBH 988/40;BBH 988/40;;;;architecture;religion;;
Montblanc (Mgr Louis de), Instruction pastorale de Mgr l'archevêque de Tours pour le saint temps du Carême 1840, Tours, impr. Mame, 57 p., BBH 987/40;BBH 987/40;;;;Tours;religion;;
Rochambeau (marquis de), Les imprimeurs vendômois et leurs œuvres, 1514-1881, précédée d'une lettre de M. Paul Lacroix, illustrée des facs-simile de trois grandes gravures du XVIe siècle, Vendôme, typo. Lemercier, 1881, BBH 986/40;BBH 986/40;;;;Vendômois;imprimeurs;;
